City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,iskateley,67.6803,53.1512,8.74,83,71,7.7,RU,1722721738
117,naze,28.3667,129.4833,26.51,84,3,3.44,JP,1722721739
118,ola,59.5833,151.2833,13.94,53,3,1.23,RU,1722721740
119,ferkessedougou,9.6,-5.2,22.64,88,98,2.17,CI,1722721741
120,hagere maryam,5.6333,38.2333,14.85,88,100,2.32,ET,1722721743
121,laguna,38.421,-121.4238,40.3,19,0,2.57,US,1722721744
122,avarua,-21.2078,-159.775,24.03,53,100,1.03,CK,1722721745
123,wailua homesteads,22.0669,-159.378,27.44,69,100,4.63,US,1722721746
124,whitehorse,60.7161,-135.0538,17.43,52,75,2.06,CA,1722721747
125,glogowek,50.3536,17.8641,15.85,86,33,3.02,PL,1722721748
126,rongelap,11.1635,166.8941,28.27,76,21,2.24,MH,1722721750
127,alesund,62.4723,6.1549,16.85,93,100,1.03,NO,1722721475
128,ciudad acuna,29.3232,-100.9522,40.32,26,40,6.17,MX,1722721753
129,kapa'a,22.0752,-159.319,28.18,67,100,4.63,US,1722721755
130,lijiang,26.8688,100.2207,16.19,94,100,0.88,CN,1722721756
131,edinburgh of the seven seas,-37.0676,-12.3116,12.15,77,100,14.25,SH,1722721758
132,christchurch,-43.5333,172.6333,3.71,89,97,1.94,NZ,1722721209
133,zhangatas,43.5667,69.75,23.56,25,0,2.24,KZ,1722721760
134,utrik,11.2278,169.8474,28.38,76,3,3.78,MH,1722721761
135,al muwayh,22.4333,41.7583,27.78,48,100,7.86,SA,1722721762
136,labrador city,52.9463,-66.9114,26.21,53,75,4.02,CA,1722721763
137,marka,1.7159,44.7717,24.32,85,96,7.45,SO,1722721765
138,goure,13.9835,10.2704,26.9,66,81,6.61,NE,1722721766
139,touros,-5.1989,-35.4608,23.84,77,1,6.91,BR,1722721767
140,tenno,39.9,139.9667,26.19,82,25,1.64,JP,1722721768
141,codrington,-38.2667,141.9667,4.4,91,71,3.76,AU,1722721769
142,tiksi,71.6872,128.8694,5.96,83,100,1.36,RU,1722721770
143,talnakh,69.4865,88.3972,13.24,71,32,1.57,RU,1722721771
144,asau,46.4333,26.4,18.51,83,1,0.71,RO,1722721774
145,puerto ayora,-0.7393,-90.3518,24.98,87,94,1.79,EC,1722721775
146,phan thiet,10.9333,108.1,24.94,92,25,2.48,VN,1722721776
147,targuist,34.9377,-4.3186,22.54,30,0,1.48,MA,1722721777
148,nouadhibou,20.931,-17.0347,24.99,83,1,2.06,MR,1722721778
149,grand-bassam,5.2118,-3.7388,24.98,91,78,2.55,CI,1722721779
150,cole harbour,44.6724,-63.4751,22.66,92,100,4.63,CA,1722721583
151,hotan,37.0997,79.9269,28.36,24,16,2.73,CN,1722721781
152,lagos,6.5833,3.75,26.18,89,100,2.47,NG,1722721772
153,ilhabela,-23.7781,-45.3581,19.93,87,0,3.46,BR,1722721507
154,bratsk,56.1325,101.6142,11.27,91,71,2.07,RU,1722721628
155,kluang,2.0251,103.3328,24.14,95,98,1.32,MY,1722721786
156,sao gabriel da cachoeira,-0.1303,-67.0892,23.05,98,90,1.39,BR,1722721787
157,sergeyevka,53.88,67.4158,15.94,76,97,3.25,KZ,1722721788
158,tazacorte,28.629,-17.9293,22.54,83,0,7.2,ES,1722721789
159,paris,48.8534,2.3488,20.13,88,0,3.6,FR,1722721739
160,yerofey pavlovich,53.9667,121.9667,15.03,62,100,3.14,RU,1722721792
161,hadibu,12.65,54.0333,25.45,82,21,10.53,YE,1722721793
162,antsiranana,-12.2787,49.2917,21.51,59,32,6.3,MG,1722721794
163,ginir,7.1333,40.7,15.47,78,100,5.63,ET,1722721795
164,tchintabaraden,15.8969,5.7985,27.1,69,88,9.16,NE,1722721796
165,bryne,58.7354,5.6477,16.66,95,75,2.57,NO,1722721797
166,qarauyl,48.9451,79.255,19.36,66,15,2.44,KZ,1722721799
167,mana,5.6592,-53.7767,26.11,87,74,3.09,GF,1722721800
168,cockburn town,21.4612,-71.1419,28.24,84,80,8.58,TC,1722721721
169,saint-pierre,-21.3393,55.4781,18.09,68,0,3.09,RE,1722721803
170,la passe,45.5549,-0.8967,19.13,83,27,3.47,FR,1722721804
171,hinton,53.4001,-117.5857,27.61,30,42,2.16,CA,1722721805
172,sterling,39.0062,-77.4286,34.01,62,43,2.24,US,1722721717
173,camana,-16.6228,-72.7111,15.82,85,4,3.34,PE,1722721809
174,ixtapa,20.7,-105.2,31.24,74,75,3.6,MX,1722721810
175,fortuna,40.5982,-124.1573,17.77,89,100,4.63,US,1722721811
176,ha'il,27.5219,41.6907,31.01,22,0,2.06,SA,1722721812
177,follonica,42.9263,10.7616,27.27,77,100,1.48,IT,1722721813
178,flying fish cove,-10.4217,105.6791,24.82,88,100,4.63,CX,1722721814
179,puerto aysen,-45.4,-72.7,4.37,99,100,1.91,CL,1722721816
180,kingston,17.997,-76.7936,31.53,70,20,8.23,JM,1722721698
181,berdyansk,46.7503,36.7944,23.09,69,51,1.47,UA,1722721818
182,hamilton,39.1834,-84.5333,31.47,61,75,7.72,US,1722721803
183,buka,40.8108,69.1986,23.35,28,28,2.63,UZ,1722721820
184,candido mendes,-1.4467,-45.7167,25.18,76,30,2.4,BR,1722721821
185,georgetown,5.4112,100.3354,26.96,73,20,1.54,MY,1722721822
186,mocimboa,-11.3167,40.35,21.05,86,5,2.82,MZ,1722721824
187,kone,-21.0595,164.8658,20.69,49,2,3.67,NC,1722721825
188,frontera,26.9333,-101.45,35.5,31,75,3.09,MX,1722721826
189,mount isa,-20.7333,139.5,6.87,76,0,2.57,AU,1722721827
190,valle del guamuez,0.4525,-76.9192,32.68,54,36,1.36,CO,1722721829
191,mirny,62.5353,113.9611,12.91,60,99,1.46,RU,1722721831
192,galliano,29.4422,-90.2992,31.11,70,92,3.68,US,1722721832
193,golere,16.2557,-14.1017,32.68,51,100,3.06,SN,1722721833
194,kattivakkam,13.2167,80.3167,26.75,92,100,5.4,IN,1722721834
195,dibba al-hisn,25.6196,56.2729,35.1,69,100,2.31,AE,1722721835
196,moundou,8.5667,16.0833,23.36,91,100,1.22,TD,1722721836
197,huilong,31.8111,121.655,28.57,89,9,3.29,CN,1722721839
198,saldanha,-33.0117,17.9442,12.03,85,96,6.21,ZA,1722721840
199,suoyarvi,62.0833,32.35,12.56,98,10,2.61,RU,1722721841
200,chibougamau,49.9168,-74.3659,25.79,41,40,4.63,CA,1722721842
201,plettenberg bay,-34.0527,23.3716,21.41,25,98,3.56,ZA,1722721843
202,tottori,35.5,134.2333,29.04,84,75,1.03,JP,1722721759
203,al kharj,24.155,47.3346,36.32,15,100,3.77,SA,1722721845
204,ashland,40.8167,-82.2665,28.87,75,89,4.37,US,1722721658
205,belmonte,-15.8631,-38.8828,21.99,86,1,3.55,BR,1722721849
206,carnarvon,-24.8667,113.6333,16.24,58,0,4.79,AU,1722721850
207,moose jaw,50.4001,-105.5344,27.14,29,95,2.57,CA,1722721851
208,warmbad,-28.45,18.7333,15.72,18,36,5.11,NA,1722721852
209,novodvinsk,64.4165,40.8122,12.86,97,81,2.66,RU,1722721854
210,mount pearl,47.5166,-52.7813,24.19,66,20,8.23,CA,1722721563
